class,latitude,longitude,Location,Guidance Value(Rs. per square meter)
0,12.9768208,77.64010604,Indiranagar,344500
0,12.97654981,77.64010318,Indiranagar,204300
0,12.97738522,77.63790114,Indiranagar,270000
0,12.97765341,77.63818033,Indiranagar,156030
0,12.97928498,77.63764483,Indiranagar,278600
0,12.9779216,77.63845952,Indiranagar,278600
0,12.97873738,77.63819177,Indiranagar,163000
0,12.97927376,77.63875015,Indiranagar,205000
0,12.97792721,77.63790686,Indiranagar,390040
0,12.97790477,77.64011748,Indiranagar,163000
0,12.9762704,77.64092929,Indiranagar,163000
0,12.9762732,77.64065297,Indiranagar,286020
0,12.97490982,77.64146763,Indiranagar,204300
0,12.97653577,77.64148481,Indiranagar,390040
0,12.97707776,77.64149053,Indiranagar,204300
0,12.97896909,77.64206323,Indiranagar,156030
0,12.97896628,77.64233956,Indiranagar,177000
0,12.97760008,77.64343054,Indiranagar,163000
0,12.97759446,77.64398319,Indiranagar,482300
0,12.97759727,77.64370687,Indiranagar,390040
0,12.97542372,77.6442366,Indiranagar,156030
0,12.97515554,77.64395741,Indiranagar,162500
0,12.97543496,77.6431313,Indiranagar,286020
0,12.97516677,77.64285211,Indiranagar,203000
0,12.97598817,77.64203173,Indiranagar,205000
0,12.97544338,77.64230233,Indiranagar,205000
0,12.97544619,77.642026,Indiranagar,263700
0,12.9749014,77.6422966,Indiranagar,482300
0,12.97489859,77.64257292,Indiranagar,163000
0,12.97489578,77.64284925,Indiranagar,270000
0,12.97221393,77.64005741,Indiranagar,278600
0,12.97194294,77.64005455,Indiranagar,162500
0,12.9732586,77.64393735,Indiranagar,162500
0,12.97326422,77.64338471,Indiranagar,344500
0,12.97299603,77.64310552,Indiranagar,163000
0,12.97272504,77.64310266,Indiranagar,286020
0,12.97245405,77.6430998,Indiranagar,204300
0,12.97245686,77.64282348,Indiranagar,163000
0,12.97137008,77.64308834,Indiranagar,263700
0,12.97109909,77.64308548,Indiranagar,270000
0,12.97083652,77.64225366,Indiranagar,482300
0,12.97110751,77.64225652,Indiranagar,278600
0,12.97111313,77.64170388,Indiranagar,156030
0,12.97165511,77.64170961,Indiranagar,204300
0,12.9716495,77.64226225,Indiranagar,390040
0,12.97164107,77.64309121,Indiranagar,344500
0,12.97246247,77.64227083,Indiranagar,163000
0,12.97273627,77.64199738,Indiranagar,482300
0,12.97219148,77.64226797,Indiranagar,482300
0,12.97301007,77.64172392,Indiranagar,482300
0,13.00857738,77.58156926,Malleshwaram,156030
0,13.00830638,77.58156645,Malleshwaram,162500
0,13.00776437,77.58156084,Malleshwaram,203000
0,13.00830088,77.5821192,Malleshwaram,156030
0,13.00884289,77.58212481,Malleshwaram,204300
0,13.00804087,77.5810109,Malleshwaram,205000
0,13.00750161,77.58072892,Malleshwaram,344500
0,13.00831738,77.58046095,Malleshwaram,482300
0,13.00804912,77.58018178,Malleshwaram,204300
0,13.00778087,77.5799026,Malleshwaram,278600
0,13.00751536,77.57934705,Malleshwaram,203000
0,13.0072471,77.57906787,Malleshwaram,344500
0,13.00751536,77.57934705,Malleshwaram,278600
0,13.0072471,77.57906787,Malleshwaram,344500
0,13.0066996,77.57961502,Malleshwaram,205000
0,13.00642584,77.57988859,Malleshwaram,270000
0,13.00642584,77.57988859,Malleshwaram,482300
0,13.00587834,77.58043572,Malleshwaram,270000
0,13.00559908,77.58126203,Malleshwaram,163000
0,13.00642035,77.58044133,Malleshwaram,344500
0,13.00587559,77.58071209,Malleshwaram,344500
0,13.0066886,77.58072051,Malleshwaram,203000
0,13.00668585,77.58099688,Malleshwaram,482300
0,13.00668585,77.58099688,Malleshwaram,204300
0,13.00722511,77.58127886,Malleshwaram,205000
0,13.00720861,77.58293709,Malleshwaram,177000
0,13.0069376,77.58293429,Malleshwaram,177000
0,13.00692935,77.5837634,Malleshwaram,344500
0,13.00720035,77.58376621,Malleshwaram,203000
0,13.00747135,77.58376902,Malleshwaram,390040
0,13.00774236,77.58377183,Malleshwaram,205000
0,13.00747411,77.58349265,Malleshwaram,205000
0,13.00747411,77.58349265,Malleshwaram,286020
0,13.0069321,77.58348703,Malleshwaram,205000
0,13.0069376,77.58293429,Malleshwaram,204300
0,13.00938765,77.58185405,Malleshwaram,344500
0,13.0093904,77.58157767,Malleshwaram,163000
0,13.0096669,77.58102772,Malleshwaram,205000
0,13.00993791,77.58103053,Malleshwaram,162500
0,13.01075092,77.58103894,Malleshwaram,162500
0,13.01020891,77.58103333,Malleshwaram,344500
0,13.01075367,77.58076257,Malleshwaram,482300
0,13.01048266,77.58075976,Malleshwaram,205000
0,13.00994615,77.5802014,Malleshwaram,156030
0,13.0099489,77.57992503,Malleshwaram,204300
0,13.01021991,77.57992783,Malleshwaram,204300
0,13.00995715,77.5790959,Malleshwaram,278600
0,13.01076742,77.57938068,Malleshwaram,278600
0,13.01104117,77.57910711,Malleshwaram,278600
0,13.01076192,77.57993344,Malleshwaram,204300
0,13.01103017,77.58021262,Malleshwaram,177000
0,13.01103292,77.57993624,Malleshwaram,344500
0,12.97492666,77.63980969,Indiranagar,390040
0,12.97438467,77.63980397,Indiranagar,177000
0,12.97437626,77.64063294,Indiranagar,162500
0,12.97436503,77.64173823,Indiranagar,482300
0,12.97437064,77.64118558,Indiranagar,278600
0,12.97546864,77.63981541,Indiranagar,204300
0,12.97547425,77.63926276,Indiranagar,177000
0,12.9738483,77.6392456,Indiranagar,482300
0,12.97383427,77.64062721,Indiranagar,286020
0,12.97329229,77.64062149,Indiranagar,204300
0,12.9727475,77.64089209,Indiranagar,203000
0,12.97381743,77.64228515,Indiranagar,205000
