Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.54929129,88.3553068,Park Street,12960,8982,9609,10745,10797,12438,12700,11032,43812
0,22.54901051,88.35647093,Park Street,12960,9105,9853,10861,10904,12669,12761,11209,43885
0,22.54845632,88.35792409,Park Street,13311,8699,9216,10142,9979,10949,9539,8729,43505
0,22.54790705,88.35879386,Park Street,15534,8765,9394,10414,10380,11956,12098,11163,43792
0,22.54763117,88.35937459,Park Street,11205,8722,9357,10365,10297,11824,11002,10110,43824
0,22.5473479,88.36083038,Park Street,12960,8780,9524,10714,10915,12432,12221,11349,43857
0,22.54707202,88.3614111,Park Street,10620,8899,9540,10527,10741,12133,12027,11165,43888
0,22.54625672,88.36169481,Park Street,11439,8767,9355,10196,10157,11589,11073,10243,43913
0,22.5465252,88.36198916,Park Street,11205,8966,9403,10138,10092,11953,12567,11885,43903
0,22.54515318,88.36401765,Park Street,10620,9015,9330,9992,9813,12640,12344,11264,43799
0,22.54460388,88.36488738,Park Street,14130,8938,9475,10255,10282,12072,12381,11502,44083
0,22.54433789,88.36430135,Park Street,12375,9459,10013,10761,10722,12985,13583,12124,43940
0,22.54461377,88.36372064,Park Street,12960,9102,9598,10321,10282,11511,11821,10929,43804
0,22.55420753,88.35068717,Park Street,13311,9217,9873,10731,10888,12104,12802,12205,43859
0,22.55147603,88.35328608,Park Street,15534,8601,8991,9767,9522,11073,10638,9728,43652
0,22.55066075,88.35356985,Park Street,14130,8670,9140,9932,9746,11820,12391,11487,43747
0,22.55231583,88.3500853,Park Street,12375,8653,9331,10444,10524,13088,12177,11013,43499
0,22.5533996,88.35009585,Park Street,12375,8701,9278,10050,9931,11298,11337,10820,43547
0,22.55119281,88.35474193,Park Street,11205,8777,9438,10394,10387,11889,11705,10719,43826
0,22.55064846,88.35502834,Park Street,14130,8817,9458,10396,10361,12140,11755,10743,43741
0,22.55009428,88.35648152,Park Street,12960,8787,9226,10004,9846,11732,10958,10318,43645
0,22.54926915,88.35793204,Park Street,12375,8901,9495,10415,10425,11635,11701,11043,43625
0,22.54798808,88.34916805,Park Street,12960,9244,9693,10480,10499,12750,12445,11465,43565
0,22.5477049,88.35062387,Park Street,13311,8684,9338,10406,10319,12571,11323,10158,43559
0,22.54741679,88.35266307,Park Street,12960,8676,9399,10459,10494,11836,11750,10682,43656
0,22.54633548,88.35236081,Park Street,11205,8713,9391,10417,10346,11900,10913,10077,43582
0,22.54662112,88.35061332,Park Street,11205,8956,9591,10423,10396,11674,11298,10311,43419
0,22.54663092,88.34944656,Park Street,11439,8777,9454,10656,10646,12886,13490,12147,43552
0,22.54737009,88.35820517,Park Street,15534,8560,9169,10213,10022,12961,11816,10132,43654
0,22.54656219,88.35761384,Park Street,12960,8752,9384,10335,10329,11942,11376,10421,43550
0,22.54520994,88.35730891,Park Street,15534,8665,9307,10504,10461,12619,11937,10656,43449
0,22.54521732,88.35643385,Park Street,14130,8637,9375,10536,10648,12601,11890,10491,43467
0,22.54737994,88.35703842,Park Street,15534,8665,9127,10010,9931,11690,11016,10112,43589
0,22.54709422,88.3587859,Park Street,10620,8966,9732,10688,10803,12494,12141,11022,43719
0,22.5465548,88.35848891,Park Street,11205,8871,9424,10451,10411,12346,11838,10697,43682
0,22.52894845,88.35773329,Ballygunge,15534,8692,9427,10646,10684,12533,11134,10176,43395
0,22.52867259,88.35831394,Ballygunge,11439,9229,9865,10691,10857,13669,13132,11708,43438
0,22.52866766,88.35889724,Ballygunge,13311,8991,9578,10422,10391,13305,12861,11215,43512
0,22.52813562,88.35772534,Ballygunge,11439,9863,10334,11608,11723,13993,13987,12796,43516
0,22.52892875,88.3600665,Ballygunge,15534,8975,9653,10619,10731,12855,12835,11337,43544
0,22.52893614,88.35919154,Ballygunge,11205,8954,9468,10320,10234,12489,11486,10517,43494
0,22.52838194,88.36064449,Ballygunge,11205,8896,9518,10567,10622,13025,12117,10802,43566
0,22.52810606,88.36122513,Ballygunge,15534,9138,9722,10755,10701,13851,13089,11594,43617
0,22.52729817,88.36063387,Ballygunge,11205,8768,9347,10392,10430,12606,12449,11138,43633
0,22.52757897,88.35946994,Ballygunge,15534,8780,9489,10760,10733,14424,12710,10905,43433
0,22.5272883,88.36180046,Ballygunge,15534,8629,9189,10282,10153,12683,12181,10874,43634
0,22.52728336,88.36238375,Ballygunge,10620,8330,8809,9693,9520,11581,11200,10354,43666
0,22.52727595,88.36325869,Ballygunge,13311,8431,8791,9517,9298,11999,10862,9677,43665
0,22.52702969,88.36033957,Ballygunge,13311,8720,9352,10409,10442,13456,12233,10776,43613
0,22.52701982,88.36150616,Ballygunge,12960,9023,9485,10431,10362,12709,13076,11701,43700
0,22.52865041,88.36093879,Ballygunge,12960,8912,9511,10526,10553,12511,12166,11155,43532
0,22.52891642,88.36152475,Ballygunge,12960,8643,9325,10354,10316,12477,11979,10467,43505
0,22.52835725,88.36356098,Ballygunge,11790,8761,9303,10291,10336,12818,12270,11370,43646
0,22.52808631,88.36355832,Ballygunge,13311,8718,9305,10398,10454,14025,12171,10717,43687
0,22.5280789,88.36443327,Ballygunge,15534,8695,9384,10451,10398,13112,11912,10489,43604
0,22.52780301,88.3650139,Ballygunge,11790,8687,9414,10395,10302,12972,11509,9694,43669
0,22.528069,88.36559986,Ballygunge,11790,8476,9156,10165,10086,12663,11421,10022,43637
0,22.5288843,88.3653162,Ballygunge,15534,8975,9670,10719,10714,13281,12564,10993,43522
0,22.52834242,88.36531087,Ballygunge,11205,8518,9142,10215,10196,12396,11165,10020,43578
0,22.52889172,88.36444125,Ballygunge,11205,9032,9730,10930,10972,14515,14015,10893,43414
0,22.52889667,88.36385795,Ballygunge,12960,8462,9077,9992,9872,12999,11893,10061,43544
0,22.52863314,88.36298034,Ballygunge,15534,8382,8872,9880,9690,13086,11470,10041,43635
0,22.54092152,88.35172466,Park Street,12375,8509,9166,10027,9945,11208,10873,9836,43562
0,22.54091171,88.35289137,Park Street,12375,9143,9899,10754,10844,12165,12568,11505,43721
0,22.54090189,88.35405807,Park Street,11205,8380,8979,9993,9957,10963,11166,10240,43432
0,22.54063095,88.35405543,Park Street,11205,8556,9025,10040,9852,11455,12109,11183,43519
