Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.97695583,77.64015352,Indiranagar,390040,8401,9036,10682,11066,14812,15397,13801,44543
0,12.97668484,77.64015066,Indiranagar,177000,8207,8805,10282,10561,14555,14294,12604,44513
0,12.97724926,77.63794577,Indiranagar,270000,8372,8832,10362,10609,12645,12655,11422,44725
0,12.97778844,77.63822782,Indiranagar,156030,8099,8426,9859,9826,11679,10698,9915,44872
0,12.97914901,77.63768946,Indiranagar,204300,8703,9391,10672,11103,14662,15100,13426,44628
0,12.97778564,77.63850414,Indiranagar,270000,8647,9206,10828,10962,12129,11277,10332,44876
0,12.97887241,77.63823925,Indiranagar,177000,7746,8272,9473,9555,11564,10282,9309,44757
0,12.9791378,77.63879477,Indiranagar,177000,7821,8082,9383,9245,12459,11958,10711,44709
0,12.97779125,77.63795149,Indiranagar,205000,8568,8843,10067,10001,11274,10742,10094,44828
0,12.9777688,77.64016211,Indiranagar,177000,9580,10407,11421,12015,15179,15859,13970,44602
0,12.97613724,77.64069759,Indiranagar,270000,8717,9024,10569,10709,13888,13967,12927,44155
0,12.97641104,77.64042413,Indiranagar,263700,8417,8912,10251,10180,15279,14553,12586,44333
0,12.97504766,77.64123879,Indiranagar,390040,8513,9099,10624,10546,14942,13301,11339,44381
0,12.97640262,77.6412531,Indiranagar,163000,9000,9332,10757,10861,14540,13997,12370,43885
0,12.97694179,77.64153515,Indiranagar,344500,8587,8847,10249,10215,13084,12769,11347,43806
0,12.97883312,77.64210785,Indiranagar,270000,9634,10145,11703,11838,14166,13708,12194,44354
0,12.97883031,77.64238418,Indiranagar,344500,9683,10223,11351,11516,13952,13119,11922,44206
0,12.97746693,77.64319884,Indiranagar,390040,6272,6537,8662,8063,10365,10013,9431,43856
0,12.9774585,77.64402782,Indiranagar,156030,5452,6231,8620,8434,11774,12252,11268,43524
0,12.97746131,77.64375149,Indiranagar,270000,3436,4416,7186,6925,9753,10411,9513,43630
0,12.97555875,77.64428408,Indiranagar,156030,4586,5618,8571,8432,11690,12116,10779,43683
0,12.97529337,77.64372857,Indiranagar,177000,9518,9399,11795,10990,13813,14660,13295,43481
0,12.97529899,77.64317592,Indiranagar,482300,8057,8551,10648,10561,12774,12425,10996,43697
0,12.97530461,77.64262327,Indiranagar,286020,7804,8468,10144,10251,13025,11844,10730,43948
0,12.97585221,77.64207635,Indiranagar,156030,10364,10808,12693,12559,16512,15800,14180,43926
0,12.97530742,77.64234695,Indiranagar,263700,8251,9013,10666,11123,14159,13466,11940,44016
0,12.97531303,77.6417943,Indiranagar,263700,8220,9000,10477,10727,14199,13891,12023,44201
0,12.97476824,77.6420649,Indiranagar,203000,8767,9233,10981,11442,15436,14948,13145,44007
0,12.97476544,77.64234122,Indiranagar,203000,8638,9077,10993,10916,14480,13321,11907,43873
0,12.97475982,77.64289387,Indiranagar,163000,8305,9075,10764,10919,13241,12388,11015,43720
0,12.97207797,77.64010203,Indiranagar,344500,8864,9420,10884,11282,14348,14396,12886,44701
0,12.97180697,77.64009917,Indiranagar,286020,8780,9234,10821,11315,14403,15185,13749,44848
0,12.97312263,77.64398197,Indiranagar,390040,9395,10241,11757,12591,15651,15269,12729,44592
0,12.97312825,77.64342933,Indiranagar,163000,7870,8674,11316,11750,15292,14963,13134,44433
0,12.97286288,77.64287382,Indiranagar,163000,9288,10531,12410,12970,16770,15580,13470,44314
0,12.97259188,77.64287096,Indiranagar,156030,7486,8245,10044,10005,13705,12605,11399,44408
0,12.97231808,77.64314442,Indiranagar,270000,7819,8398,9771,9873,12028,11013,9814,44583
0,12.97232089,77.6428681,Indiranagar,263700,7577,8025,9367,9381,11433,10746,9706,44484
0,12.97150511,77.64313583,Indiranagar,390040,8832,9388,10855,11185,13076,13686,12517,44654
0,12.97123412,77.64313297,Indiranagar,203000,8966,9559,11083,11536,14301,15461,14351,44653
0,12.97097155,77.64230114,Indiranagar,390040,9497,9965,11285,11690,14511,14696,13233,44712
0,12.97124254,77.64230401,Indiranagar,263700,9631,9982,11567,11994,15315,15581,13913,44748
0,12.97124815,77.64175137,Indiranagar,344500,9511,10235,11749,12492,14840,15133,13513,44616
0,12.97151915,77.64175423,Indiranagar,278600,8402,8964,10916,10762,14187,13621,12286,44540
0,12.97178452,77.64230973,Indiranagar,156030,9973,10712,12233,12682,16198,15435,13467,44535
0,12.9717761,77.64313869,Indiranagar,263700,8416,8780,10256,10391,13482,12753,11404,44637
0,12.9725975,77.64231832,Indiranagar,177000,12282,13222,14691,15253,18565,18037,15642,44105
0,12.97260031,77.642042,Indiranagar,162500,10225,11142,13354,13791,16911,16885,14636,44038
0,12.97232651,77.64231546,Indiranagar,163000,11452,12096,13882,14112,17393,16668,14583,44280
0,12.97287691,77.64149222,Indiranagar,156030,7637,8981,11479,12188,15197,15787,13945,43913
0,13.00844417,77.58133754,Malleshwaram,163000,9116,9718,10798,11317,13883,14908,13152,44320
0,13.00817042,77.58161111,Malleshwaram,344500,9296,9300,11088,10852,14054,13471,12291,44230
0,13.00789941,77.58160831,Malleshwaram,344500,9001,9519,10518,10862,13997,14443,12788,44042
0,13.00843867,77.58189029,Malleshwaram,263700,8365,8492,9410,9095,11286,11025,10302,44205
0,13.00870692,77.58216947,Malleshwaram,204300,8704,9051,10322,10492,13018,12145,10629,43969
0,13.00790491,77.58105556,Malleshwaram,204300,8760,9063,10537,10405,15428,13557,12107,44127
0,13.00763666,77.58077638,Malleshwaram,286020,9177,9718,10904,11348,14522,14177,12397,44230
0,13.00818142,77.58050561,Malleshwaram,204300,8733,9249,10422,10580,15229,13587,11625,44256
0,13.00791316,77.58022644,Malleshwaram,205000,8747,9097,10486,10388,14250,13916,12590,44314
0,13.00764491,77.57994726,Malleshwaram,390040,9128,9513,10974,11390,14853,14532,12807,44341
0,13.0076504,77.57939451,Malleshwaram,270000,9214,9694,10921,10945,14960,15049,13150,44019
0,13.00738215,77.57911534,Malleshwaram,270000,8622,9058,11210,11139,14848,15733,13877,43739
0,13.0073794,77.57939171,Malleshwaram,204300,9731,10121,11432,11317,15165,15083,13437,43967
0,13.00711114,77.57911254,Malleshwaram,278600,8831,9546,11882,12246,16103,16162,14249,43620
0,13.00683464,77.57966248,Malleshwaram,263700,10058,10468,11936,11985,15944,16199,14246,43912
0,13.00656089,77.57993605,Malleshwaram,204300,8977,9531,11196,11356,15810,14743,13246,44030
0,13.00628988,77.57993325,Malleshwaram,156030,9117,9744,11900,12099,15790,16052,14881,43956
0,13.00601613,77.58020682,Malleshwaram,482300,9441,10111,11890,12558,15310,15477,13195,44044
0,13.00546312,77.58130669,Malleshwaram,344500,9176,9731,11290,11357,15012,14535,12682,44184
0,13.00628439,77.58048599,Malleshwaram,278600,9138,9886,11188,11802,15541,14985,12574,44178
0,13.00573963,77.58075676,Malleshwaram,390040,9219,10233,11422,12620,16705,15975,13152,44319
0,13.00655264,77.58076517,Malleshwaram,156030,9906,10294,11811,11677,14791,16405,15863,44176
