Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.54929129,88.3553068,Park Street,15534,9166,10005,11342,11417,13225,12562,11090,43152
0,22.54901051,88.35647093,Park Street,12960,9485,10288,11458,11505,13069,12821,11556,43180
0,22.54845632,88.35792409,Park Street,15534,8576,9278,10501,10440,11644,10272,9216,42820
0,22.54790705,88.35879386,Park Street,12375,8640,9379,10541,10520,12081,11868,11003,43149
0,22.54763117,88.35937459,Park Street,14130,8524,9305,10583,10596,11861,11282,10324,43191
0,22.5473479,88.36083038,Park Street,12960,9180,9894,11004,11285,12748,12957,11750,43232
0,22.54707202,88.3614111,Park Street,14130,9291,9990,11204,11422,12921,12861,11991,43287
0,22.54625672,88.36169481,Park Street,12375,9212,9832,10882,10923,12295,11620,10686,43295
0,22.5465252,88.36198916,Park Street,14130,9104,9772,10754,10798,12646,12192,11134,43262
0,22.54515318,88.36401765,Park Street,15534,8743,9119,10059,9993,12173,12185,10995,43179
0,22.54460388,88.36488738,Park Street,15534,8932,9603,10664,10793,12281,12550,11677,43381
0,22.54433789,88.36430135,Park Street,12960,9364,9918,10884,10927,13216,13611,12841,43296
0,22.54461377,88.36372064,Park Street,11205,8917,9404,10323,10307,11712,11533,10756,43142
0,22.55420753,88.35068717,Park Street,12375,9071,9757,10829,10976,12037,11843,11238,43265
0,22.55147603,88.35328608,Park Street,12960,8842,9547,10718,10653,12055,11124,10047,43091
0,22.55066075,88.35356985,Park Street,11790,9065,9746,11054,11016,13138,12523,11406,43121
0,22.55231583,88.3500853,Park Street,12960,8853,9455,10671,10835,13123,12816,11680,42907
0,22.5533996,88.35009585,Park Street,11205,8639,9240,10203,10181,11673,11701,10801,42876
0,22.55119281,88.35474193,Park Street,15534,9303,10182,11461,11640,13332,13297,12215,43179
0,22.55064846,88.35502834,Park Street,12375,9271,10065,11328,11324,13138,12139,10873,43109
0,22.55009428,88.35648152,Park Street,14130,9195,9983,11221,11280,12953,11994,10616,42975
0,22.54926915,88.35793204,Park Street,12960,8860,9667,10888,10918,12068,11324,10399,42951
0,22.54798808,88.34916805,Park Street,11205,8908,9560,10744,10676,12418,12147,10891,42845
0,22.5477049,88.35062387,Park Street,12960,8863,9581,10791,10748,12782,12110,10721,42888
0,22.54741679,88.35266307,Park Street,12960,9131,9913,11425,11537,13003,13372,12549,43059
0,22.54633548,88.35236081,Park Street,12960,9111,9824,10780,10877,12620,10994,9902,42956
0,22.54662112,88.35061332,Park Street,14130,8951,9781,11024,11138,12612,11839,11044,42901
0,22.54663092,88.34944656,Park Street,14130,9296,10020,11190,11380,12927,12534,11558,42965
0,22.54737009,88.35820517,Park Street,11790,8729,9287,10528,10413,12952,11723,10443,42972
0,22.54656219,88.35761384,Park Street,11790,8760,9534,10779,10811,12469,11174,10130,42821
0,22.54520994,88.35730891,Park Street,14130,9063,9793,11080,11083,12873,12001,10780,42908
0,22.54521732,88.35643385,Park Street,11439,9136,9945,11171,11254,12898,12692,11516,42825
0,22.54737994,88.35703842,Park Street,11790,8515,9143,10347,10190,11700,10859,9947,42834
0,22.54709422,88.3587859,Park Street,15534,9244,9880,11277,11408,12876,12670,11806,43047
0,22.5465548,88.35848891,Park Street,14130,8734,9500,10700,10654,12057,10820,9689,42931
0,22.52894845,88.35773329,Ballygunge,11205,8617,9316,10585,10512,12046,11410,10153,42805
0,22.52867259,88.35831394,Ballygunge,12375,9219,9997,11305,11476,13793,13890,12651,42819
0,22.52866766,88.35889724,Ballygunge,11205,9060,9762,10981,11585,14229,13417,11947,42849
0,22.52813562,88.35772534,Ballygunge,11205,9183,9959,11303,11605,14101,12717,11320,42903
0,22.52892875,88.3600665,Ballygunge,14130,9193,9477,10159,9885,12132,12632,11423,42931
0,22.52893614,88.35919154,Ballygunge,11205,8760,9538,10617,10623,12782,12140,10700,42804
0,22.52838194,88.36064449,Ballygunge,11205,9106,9675,10806,10911,13248,12372,11127,42947
0,22.52810606,88.36122513,Ballygunge,13311,9394,10119,11190,11341,13953,12984,11799,43007
0,22.52729817,88.36063387,Ballygunge,11439,9235,9875,11080,11147,13110,12984,11731,43006
0,22.52757897,88.35946994,Ballygunge,12375,8597,9260,10531,10451,14276,12584,10541,42841
0,22.5272883,88.36180046,Ballygunge,12375,8950,9582,10663,10637,13163,12465,10949,42987
0,22.52728336,88.36238375,Ballygunge,11790,9104,9786,10952,11076,13293,12481,10975,43049
0,22.52727595,88.36325869,Ballygunge,12375,8880,9594,10738,10755,13419,12788,11126,43049
0,22.52702969,88.36033957,Ballygunge,11439,8870,9422,10602,10635,13748,12309,11132,43013
0,22.52701982,88.36150616,Ballygunge,11439,9382,9995,11228,11270,13871,12713,11539,43024
0,22.52865041,88.36093879,Ballygunge,15534,8907,9532,10648,10665,12616,12238,11058,42907
0,22.52891642,88.36152475,Ballygunge,15534,9133,9803,10921,10945,13112,11948,11016,42914
0,22.52835725,88.36356098,Ballygunge,12375,8879,9283,10064,10070,12570,11445,10411,42999
0,22.52808631,88.36355832,Ballygunge,12960,8954,9176,9980,9597,12776,12190,11043,43030
0,22.5280789,88.36443327,Ballygunge,11790,9023,9288,9923,9599,11989,12009,11054,42978
0,22.52780301,88.3650139,Ballygunge,12960,8780,9272,10349,10150,12782,11488,10095,43061
0,22.528069,88.36559986,Ballygunge,11790,8586,9274,10427,10322,12492,11447,10377,43084
0,22.5288843,88.3653162,Ballygunge,10620,8840,9526,10790,10831,12781,11756,10548,42949
0,22.52834242,88.36531087,Ballygunge,14130,8628,9345,10524,10530,11933,11873,11028,43011
0,22.52889172,88.36444125,Ballygunge,11439,8869,9609,10832,10875,13853,12331,10597,42859
0,22.52889667,88.36385795,Ballygunge,12960,8773,9444,10520,10522,13490,12100,10718,43009
0,22.52863314,88.36298034,Ballygunge,15534,8898,9432,10514,10485,13703,12007,10501,42985
0,22.54092152,88.35172466,Park Street,15534,8750,9436,10541,10533,11790,11158,10263,43026
0,22.54091171,88.35289137,Park Street,12375,9468,10259,11293,11419,12844,12676,11657,43186
0,22.54090189,88.35405807,Park Street,11205,8503,9099,10277,10209,11278,10977,10409,42836
0,22.54063095,88.35405543,Park Street,12960,8525,9021,9917,9713,11276,11113,10320,42879
0,22.54062604,88.35463878,Park Street,14130,8779,9496,10639,10696,12204,12151,11375,42836
0,22.54062113,88.35522213,Park Street,13311,8684,9489,10677,10752,11934,11185,10219,42829
0,22.54007924,88.35521684,Park Street,12960,8878,9622,10884,10988,12527,12444,11533,42864
0,22.53953736,88.35521155,Park Street,14130,8764,9474,10659,10739,12216,11863,10673,42820
0,22.54061621,88.35580549,Park Street,11205,9069,9853,11254,11423,12767,12509,11466,42792
0,22.54008661,88.35434182,Park Street,15534,9131,9748,10736,10941,12469,11764,11037,42919
0,22.53981567,88.35433918,Park Street,11205,8955,9569,10585,10567,11799,11790,10770,43046
0,22.53982058,88.35375583,Park Street,15534,9160,9660,10634,10816,12691,12154,11429,43122
0,22.53900284,88.35433125,Park Street,11790,8937,9464,10565,10348,13698,12809,11138,43035
0,22.53926641,88.35520891,Park Street,11205,8783,9457,10666,10765,12167,11944,11118,42805
0,22.53872698,88.35491195,Park Street,13311,8856,9443,10598,10595,12245,11899,10806,42889
0,22.54061129,88.35638884,Park Street,12375,8763,9540,10837,10896,12409,12132,11376,42764
0,22.54006449,88.35696689,Park Street,12375,8799,9563,10888,11346,13270,13045,12092,42689
0,22.53952506,88.35666992,Park Street,13311,9697,10523,11706,11983,13524,13911,12477,42868
0,22.54060145,88.35755554,Park Street,12375,8511,9017,10036,9832,10420,9217,8436,42309
0,22.53953244,88.3557949,Park Street,11205,8830,9583,10800,10799,13381,12385,10770,42750
0,22.53925412,88.35666727,Park Street,12960,9880,10773,12088,12419,14521,14731,13019,42902
0,22.53899055,88.35578961,Park Street,11790,8813,9448,10795,10776,12930,11552,10493,42794
0,22.53872207,88.35549529,Park Street,11205,8808,9517,10758,10746,12196,11612,10472,42811
0,22.50101176,88.36095981,Jadavpur,15534,9403,10027,11023,11087,12170,11031,10275,43004
0,22.49992552,88.3612408,Jadavpur,11439,9198,9818,10932,11156,12504,12033,11201,42843
0,22.49938856,88.36065232,Jadavpur,12960,8773,9343,10429,10443,11983,11605,10779,42888
0,22.49939595,88.35977755,Jadavpur,11439,8645,9207,10169,10055,11288,9315,8432,42802
0,22.50102161,88.35979344,Jadavpur,13311,9672,10473,11666,11772,12974,13482,12229,42885
0,22.50073589,88.36154034,Jadavpur,14130,9354,9696,10434,10312,11873,12240,11570,43420
0,22.52186186,88.33024787,Alipore,11205,8622,9475,10829,10787,12303,11222,10310,42916
0,22.52132238,88.32995105,Alipore,15534,8522,9341,10613,10549,12509,11749,10926,42916
0,22.52050954,88.32994327,Alipore,15534,8495,9246,10620,10590,13097,12493,11289,42749
0,22.52023859,88.32994067,Alipore,12375,8433,9155,10432,10390,12687,10898,9822,42742
0,22.51942575,88.32993289,Alipore,12960,8242,8791,9897,9740,12878,11646,10252,42849
0,22.51996283,88.33052135,Alipore,14130,8648,9294,10348,10322,12537,11426,10341,42816
0,22.52077567,88.33052913,Alipore,11790,8357,9091,10365,10242,13003,11422,10237,42698
