Class,latitude,longitude,Location,Guidance Value(Rs. per square meter),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.9768208,77.64010604,Indiranagar,344500,8536,9019,10330,10714,13648,13120,11552,45975
0,12.97654981,77.64010318,Indiranagar,204300,8212,8568,10090,10662,13455,13648,12339,45962
0,12.97738522,77.63790114,Indiranagar,270000,8850,9422,10397,11406,13520,14182,13121,46207
0,12.97765341,77.63818033,Indiranagar,156030,8553,8949,9873,9972,12735,12213,11661,46322
0,12.97928498,77.63764483,Indiranagar,278600,8111,8763,10496,10973,13909,14872,13470,46054
0,12.9779216,77.63845952,Indiranagar,278600,9349,9860,10713,12311,14845,15057,13780,46378
0,12.97873738,77.63819177,Indiranagar,163000,8443,9064,9796,10250,12560,12333,11503,46163
0,12.97927376,77.63875015,Indiranagar,205000,8591,9052,9985,10740,13753,13763,12234,46165
0,12.97792721,77.63790686,Indiranagar,390040,9488,10141,10952,11562,13223,14171,13539,46347
0,12.97790477,77.64011748,Indiranagar,163000,9109,9850,10856,11457,13366,14572,13924,46160
0,12.9762704,77.64092929,Indiranagar,163000,7959,8505,9788,10061,12531,12755,11947,45856
0,12.9762732,77.64065297,Indiranagar,286020,8509,9177,11087,11687,13619,14185,13400,45880
0,12.97490982,77.64146763,Indiranagar,204300,9500,10297,11437,12649,15098,14948,13432,45997
0,12.97653577,77.64148481,Indiranagar,390040,9135,9754,10632,11646,14761,15020,13518,45866
0,12.97707776,77.64149053,Indiranagar,204300,8721,9196,9574,10174,13843,12662,11330,45937
0,12.97896909,77.64206323,Indiranagar,156030,8787,9236,10524,11143,12965,13216,12711,46244
0,12.97896628,77.64233956,Indiranagar,177000,8715,9659,10183,10713,13492,13544,12498,46229
0,12.97760008,77.64343054,Indiranagar,163000,8351,8933,9729,10241,13158,13703,12653,45900
0,12.97759446,77.64398319,Indiranagar,482300,8382,8567,10024,10244,14455,12294,10545,45808
0,12.97759727,77.64370687,Indiranagar,390040,8721,9098,10062,10633,14035,13087,11031,45837
